date,demand_units
2017-05-24T00:00:00,559
2017-05-25T00:00:00,1407
2017-05-26T00:00:00,1727
2017-05-27T00:00:00,930
2017-05-28T00:00:00,642
2017-05-29T00:00:00,1135
2017-05-30T00:00:00,527
2017-05-31T00:00:00,1084
2017-06-01T00:00:00,1132
2017-06-02T00:00:00,1687
2017-06-03T00:00:00,978
2017-06-04T00:00:00,695
2017-06-05T00:00:00,769
2017-06-06T00:00:00,748
2017-06-07T00:00:00,1007
2017-06-08T00:00:00,1187
2017-06-09T00:00:00,1667
2017-06-10T00:00:00,1407
2017-06-11T00:00:00,774
2017-06-12T00:00:00,622
2017-06-13T00:00:00,492
2017-06-14T00:00:00,940
2017-06-15T00:00:00,1083
2017-06-16T00:00:00,1720
2017-06-17T00:00:00,918
2017-06-18T00:00:00,1069
2017-06-19T00:00:00,780
2017-06-20T00:00:00,1282
2017-06-21T00:00:00,918
2017-06-22T00:00:00,1511
2017-06-23T00:00:00,1927
2017-06-24T00:00:00,1053
2017-06-25T00:00:00,806
2017-06-26T00:00:00,947
2017-06-27T00:00:00,1067
2017-06-28T00:00:00,1133
2017-06-29T00:00:00,1402
2017-06-30T00:00:00,2009
2017-07-01T00:00:00,704
2017-07-02T00:00:00,621
2017-07-03T00:00:00,911
2017-07-04T00:00:00,1098
2017-07-05T00:00:00,1157
2017-07-06T00:00:00,1379
2017-07-07T00:00:00,1702
2017-07-08T00:00:00,1101
2017-07-09T00:00:00,632
2017-07-10T00:00:00,662
2017-07-11T00:00:00,1199
2017-07-12T00:00:00,873
2017-07-13T00:00:00,1291
2017-07-14T00:00:00,1859
2017-07-15T00:00:00,984
2017-07-16T00:00:00,470
2017-07-17T00:00:00,1052
2017-07-18T00:00:00,1012
2017-07-19T00:00:00,1191
2017-07-20T00:00:00,1222
2017-07-21T00:00:00,1804
2017-07-22T00:00:00,723
2017-07-23T00:00:00,356
2017-07-24T00:00:00,825
2017-07-25T00:00:00,1104
2017-07-26T00:00:00,1009
2017-07-27T00:00:00,1150
2017-07-28T00:00:00,2004
2017-07-29T00:00:00,1124
2017-07-30T00:00:00,478
2017-07-31T00:00:00,1098
2017-08-01T00:00:00,936
2017-08-02T00:00:00,729
2017-08-03T00:00:00,924
2017-08-04T00:00:00,1877
2017-08-05T00:00:00,1235
2017-08-06T00:00:00,614
2017-08-07T00:00:00,882
2017-08-08T00:00:00,847
2017-08-09T00:00:00,1234
2017-08-10T00:00:00,1197
2017-08-11T00:00:00,1872
2017-08-12T00:00:00,287
2017-08-13T00:00:00,1236
2017-08-14T00:00:00,860
2017-08-15T00:00:00,1271
2017-08-16T00:00:00,1300
2017-08-17T00:00:00,1196
2017-08-18T00:00:00,1969
2017-08-19T00:00:00,1224
2017-08-20T00:00:00,815
2017-08-21T00:00:00,1078
2017-08-22T00:00:00,1067
2017-08-23T00:00:00,195
2017-08-24T00:00:00,1240
2017-08-25T00:00:00,1851
2017-08-26T00:00:00,1131
2017-08-27T00:00:00,648
2017-08-28T00:00:00,893
2017-08-29T00:00:00,1120
2017-08-30T00:00:00,1281
2017-08-31T00:00:00,1553
2017-09-01T00:00:00,2028
2017-09-02T00:00:00,1172
2017-09-03T00:00:00,806
2017-09-04T00:00:00,882
2017-09-05T00:00:00,1063
2017-09-06T00:00:00,1171
2017-09-07T00:00:00,1159
2017-09-08T00:00:00,1974
2017-09-09T00:00:00,954
2017-09-10T00:00:00,692
2017-09-11T00:00:00,988
2017-09-12T00:00:00,1386
2017-09-13T00:00:00,1416
